Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Grade: A,  Credits: 3,  Student Count: 52,  Pct: 45.61
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 6.14
Grade: B,  Credits: 3,  Student Count: 10,  Pct: 8.77
Grade: B+,  Credits: 3,  Student Count: 11,  Pct: 9.65
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 4.39
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 1.75
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 1.75
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: .88
Grade: D+,  Credits: 3,  Student Count: 3,  Pct: 2.63
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: .88
Grade: F,  Credits: 3,  Student Count: 5,  Pct: 4.39
Grade: S,  Credits: 3,  Student Count: 9,  Pct: 7.89
Grade: U,  Credits: 3,  Student Count: 1,  Pct: .88
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 4.39
,,,
Course: GEOG 201  Student Total: 44  Credit Hours: 4  Grade Pts: 488.8  GPA Hours: 164  GPA: 2.98,,,
Grade: A,  Credits: 4,  Student Count: 18,  Pct: 40.91
Grade: A-,  Credits: 4,  Student Count: 2,  Pct: 4.55
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 6.82
Grade: B+,  Credits: 4,  Student Count: 7,  Pct: 15.91
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 4.55
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 4.55
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 2.27
Grade: F,  Credits: 4,  Student Count: 6,  Pct: 13.64
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 2.27
Grade: W,  Credits: 4,  Student Count: 2,  Pct: 4.55
,,,
Course: GEOG 300  Student Total: 102  Credit Hours: 3  Grade Pts: 804.6  GPA Hours: 264  GPA: 3.05,,,
Grade: A,  Credits: 3,  Student Count: 24,  Pct: 23.53
Grade: A-,  Credits: 3,  Student Count: 16,  Pct: 15.69
Grade: B,  Credits: 3,  Student Count: 14,  Pct: 13.73
Grade: B+,  Credits: 3,  Student Count: 8,  Pct: 7.84
Grade: B-,  Credits: 3,  Student Count: 6,  Pct: 5.88
Grade: C,  Credits: 3,  Student Count: 5,  Pct: 4.9
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 1.96
Grade: C-,  Credits: 3,  Student Count: 5,  Pct: 4.9
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 1.96
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 1.96
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: .98
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 2.94
Grade: S,  Credits: 3,  Student Count: 9,  Pct: 8.82
Grade: U,  Credits: 3,  Student Count: 2,  Pct: 1.96
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 2.94
,,,
Course: GEOG 340  Student Total: 42  Credit Hours: 3  Grade Pts: 437.7  GPA Hours: 114  GPA: 3.84,,,
Grade: A,  Credits: 3,  Student Count: 28,  Pct: 66.67
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 14.29
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 7.14
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.38
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 9.52
,,,
Coll of Earth  Ocean and Atmos,,,
Oceanography,,,
,,,
Course: ATS 201  Student Total: 51  Credit Hours: 4  Grade Pts: 521.6  GPA Hours: 168  GPA: 3.1,,,
Grade: A,  Credits: 4,  Student Count: 9,  Pct: 17.65
Grade: A-,  Credits: 4,  Student Count: 7,  Pct: 13.73
Grade: B,  Credits: 4,  Student Count: 5,  Pct: 9.8
Grade: B+,  Credits: 4,  Student Count: 7,  Pct: 13.73
Grade: B-,  Credits: 4,  Student Count: 5,  Pct: 9.8
