Grade Distribution By Course,,,
,,,
College of Ag,,,
Agricultural Education,,,
,,,
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.96
,,,
Course: ANS 231  Student Total: 17  Credit Hours: 3  Grade Pts: 163.5  GPA Hours: 48  GPA: 3.41,,,
Grade: A,  Credits: 3,  Student Count: 9,  Pct: 52.94
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 5.88
,,,
Course: ANS 280  Student Total: 73  Credit Hours: 4  Grade Pts: 896  GPA Hours: 272  GPA: 3.29,,,
Grade: A,  Credits: 4,  Student Count: 24,  Pct: 32.88
Grade: A-,  Credits: 4,  Student Count: 9,  Pct: 12.33
Grade: B,  Credits: 4,  Student Count: 17,  Pct: 23.29
Grade: B+,  Credits: 4,  Student Count: 6,  Pct: 8.22
Grade: B-,  Credits: 4,  Student Count: 5,  Pct: 6.85
Grade: C,  Credits: 4,  Student Count: 4,  Pct: 5.48
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 1.37
Grade: D-,  Credits: 4,  Student Count: 2,  Pct: 2.74
Grade: S,  Credits: 4,  Student Count: 3,  Pct: 4.11
Grade: U,  Credits: 4,  Student Count: 1,  Pct: 1.37
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 1.37
,,,
Course: ANS 313  Student Total: 18  Credit Hours: 4  Grade Pts: 249.6  GPA Hours: 72  GPA: 3.47,,,
Grade: A,  Credits: 4,  Student Count: 7,  Pct: 38.89
Grade: A-,  Credits: 4,  Student Count: 2,  Pct: 11.11
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 16.67
Grade: B+,  Credits: 4,  Student Count: 3,  Pct: 16.67
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 16.67
,,,
Course: ANS 315  Student Total: 107  Credit Hours: 3  Grade Pts: 1058.7  GPA Hours: 291  GPA: 3.64,,,
Grade: A,  Credits: 3,  Student Count: 64,  Pct: 59.81
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 6.54
Grade: B+,  Credits: 3,  Student Count: 17,  Pct: 15.89
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 2.8
Grade: C+,  Credits: 3,  Student Count: 6,  Pct: 5.61
Grade: I/U,  Credits: 3,  Student Count: 1,  Pct: .93
Grade: S,  Credits: 3,  Student Count: 4,  Pct: 3.74
Grade: U,  Credits: 3,  Student Count: 1,  Pct: .93
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 3.74
,,,
Course: ANS 316  Student Total: 55  Credit Hours: 4  Grade Pts: 739.6  GPA Hours: 212  GPA: 3.49,,,
Grade: A,  Credits: 4,  Student Count: 37,  Pct: 67.27
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 5.45
Grade: B+,  Credits: 4,  Student Count: 5,  Pct: 9.09
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 3.64
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 3.64
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.82
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 1.82
Grade: F,  Credits: 4,  Student Count: 2,  Pct: 3.64
Grade: I/F,  Credits: 4,  Student Count: 1,  Pct: 1.82
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.82
,,,
Course: ANS 317  Student Total: 69  Credit Hours: 1  Grade Pts: 230.2  GPA Hours: 67  GPA: 3.44,,,
Grade: A,  Credits: 1,  Student Count: 39,  Pct: 56.52
Grade: A-,  Credits: 1,  Student Count: 2,  Pct: 2.9
Grade: B,  Credits: 1,  Student Count: 8,  Pct: 11.59
Grade: B+,  Credits: 1,  Student Count: 7,  Pct: 10.14
Grade: B-,  Credits: 1,  Student Count: 2,  Pct: 2.9
Grade: C,  Credits: 1,  Student Count: 2,  Pct: 2.9
Grade: C+,  Credits: 1,  Student Count: 2,  Pct: 2.9
Grade: C-,  Credits: 1,  Student Count: 2,  Pct: 2.9
Grade: D,  Credits: 1,  Student Count: 1,  Pct: 1.45
Grade: D+,  Credits: 1,  Student Count: 1,  Pct: 1.45
Grade: F,  Credits: 1,  Student Count: 1,  Pct: 1.45
Grade: S,  Credits: 1,  Student Count: 2,  Pct: 2.9
,,,
Course: ANS 335  Student Total: 22  Credit Hours: 3  Grade Pts: 220.2  GPA Hours: 66  GPA: 3.34,,,
Grade: A,  Credits: 3,  Student Count: 8,  Pct: 36.36
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 9.09
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 13.64
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 13.64
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 18.18
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 4.55
,,,
Course: ANS 341  Student Total: 36  Credit Hours: 3  Grade Pts: 360  GPA Hours: 102  GPA: 3.53,,,
Grade: A,  Credits: 3,  Student Count: 24,  Pct: 66.67
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 16.67
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.78
,,,
Course: ANS 378  Student Total: 35  Credit Hours: 4  Grade Pts: 421.6  GPA Hours: 132  GPA: 3.19,,,
Grade: A,  Credits: 4,  Student Count: 12,  Pct: 34.29
Grade: A-,  Credits: 4,  Student Count: 4,  Pct: 11.43
Grade: B,  Credits: 4,  Student Count: 6,  Pct: 17.14
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 5.71
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 8.57
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 2.86
Grade: C+,  Credits: 4,  Student Count: 3,  Pct: 8.57
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 2.86
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 2.86
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 2.86
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 2.86
,,,
Course: ANS 405  Student Total: 21  Credit Hours: Variable  Grade Pts: 133.2  GPA Hours: 34  GPA: 3.92,,,
Grade: P,  Credits: 1,  Student Count: 4,  Pct: 19.05
Grade: A,  Credits: 2,  Student Count: 15,  Pct: 71.43
Grade: B+,  Credits: 2,  Student Count: 2,  Pct: 9.52
,,,
Course: ANS 420  Student Total: 32  Credit Hours: 3  Grade Pts: 241.8  GPA Hours: 75  GPA: 3.22,,,
Grade: A,  Credits: 3,  Student Count: 9,  Pct: 28.13
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 18.75
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 12.5
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 9.38
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: I/A,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: I/U,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 9.38
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 3.13
,,,
Course: ANS 436  Student Total: 19  Credit Hours: 3  Grade Pts: 210  GPA Hours: 54  GPA: 3.89,,,
Grade: A,  Credits: 3,  Student Count: 14,  Pct: 73.68
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 5.26
,,,
Course: ANS 456  Student Total: 36  Credit Hours: 3  Grade Pts: 421.2  GPA Hours: 108  GPA: 3.9,,,
Grade: A,  Credits: 3,  Student Count: 28,  Pct: 77.78
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 13.89
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 8.33
,,,
Course: RNG 121  Student Total: 95  Credit Hours: 4  Grade Pts: 861.6  GPA Hours: 288  GPA: 2.99,,,
Grade: A,  Credits: 4,  Student Count: 21,  Pct: 22.11
Grade: A-,  Credits: 4,  Student Count: 18,  Pct: 18.95
Grade: B,  Credits: 4,  Student Count: 2,  Pct: 2.11
Grade: B+,  Credits: 4,  Student Count: 9,  Pct: 9.47
Grade: B-,  Credits: 4,  Student Count: 6,  Pct: 6.32
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 2.11
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 2.11
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 1.05
Grade: D+,  Credits: 4,  Student Count: 2,  Pct: 2.11
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 1.05
Grade: F,  Credits: 4,  Student Count: 8,  Pct: 8.42
Grade: S,  Credits: 4,  Student Count: 14,  Pct: 14.74
Grade: U,  Credits: 4,  Student Count: 4,  Pct: 4.21
Grade: W,  Credits: 4,  Student Count: 5,  Pct: 5.26
,,,
Course: RNG 341  Student Total: 48  Credit Hours: 3  Grade Pts: 410.1  GPA Hours: 126  GPA: 3.25,,,
Grade: A,  Credits: 3,  Student Count: 14,  Pct: 29.17
Grade: A-,  Credits: 3,  Student Count: 10,  Pct: 20.83
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 10.42
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 4.17
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 10.42
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 4.17
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 4.17
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 4.17
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 2.08
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 10.42
,,,
Course: RNG 351  Student Total: 22  Credit Hours: 3  Grade Pts: 158.1  GPA Hours: 54  GPA: 2.93,,,
Grade: A,  Credits: 3,  Student Count: 3,  Pct: 13.64
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 18.18
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 22.73
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 9.09
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 18.18
