Grade Distribution By Course,,,
,,,
,,,
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 4.82
Grade: C,  Credits: 3,  Student Count: 5,  Pct: 6.02
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.2
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.2
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.2
Grade: S,  Credits: 3,  Student Count: 4,  Pct: 4.82
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 6.02
,,,
Course: AG 351  Student Total: 36  Credit Hours: 3  Grade Pts: 347.4  GPA Hours: 93  GPA: 3.74,,,
Grade: A,  Credits: 3,  Student Count: 24,  Pct: 66.67
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 5.56
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 13.89
,,,
Course: AG 391  Student Total: 31  Credit Hours: 3  Grade Pts: 308.1  GPA Hours: 87  GPA: 3.54,,,
Grade: A,  Credits: 3,  Student Count: 20,  Pct: 64.52
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 3.23
,,,
Course: AG 410  Student Total: 21  Credit Hours: Variable  Grade Pts: 751.4  GPA Hours: 195  GPA: 3.85,,,
Grade: A,  Credits: 1,  Student Count: 1,  Pct: 4.76
Grade: B+,  Credits: 1,  Student Count: 1,  Pct: 4.76
Grade: A,  Credits: 3,  Student Count: 1,  Pct: 4.76
Grade: A-,  Credits: 5,  Student Count: 1,  Pct: 4.76
Grade: A,  Credits: 6,  Student Count: 2,  Pct: 9.52
Grade: A,  Credits: 9,  Student Count: 2,  Pct: 9.52
Grade: A,  Credits: 11,  Student Count: 1,  Pct: 4.76
Grade: A,  Credits: 12,  Student Count: 8,  Pct: 38.1
Grade: A-,  Credits: 12,  Student Count: 3,  Pct: 14.29
Grade: B-,  Credits: 12,  Student Count: 1,  Pct: 4.76
,,,
Course: AG 412  Student Total: 28  Credit Hours: 3  Grade Pts: 258.3  GPA Hours: 75  GPA: 3.44,,,
Grade: A,  Credits: 3,  Student Count: 17,  Pct: 60.71
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 7.14
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 7.14
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 10.71
,,,
Course: AG 421  Student Total: 19  Credit Hours: 3  Grade Pts: 149.7  GPA Hours: 51  GPA: 2.94,,,
Grade: A,  Credits: 3,  Student Count: 4,  Pct: 21.05
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 21.05
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 15.79
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 10.53
,,,
Course: LEAD 242  Student Total: 21  Credit Hours: 3  Grade Pts: 182.4  GPA Hours: 60  GPA: 3.04,,,
Grade: A,  Credits: 3,  Student Count: 4,  Pct: 19.05
