Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 2.04
Grade: F,  Credits: 4,  Student Count: 5,  Pct: 10.2
Grade: S,  Credits: 4,  Student Count: 4,  Pct: 8.16
Grade: W,  Credits: 4,  Student Count: 12,  Pct: 24.49
,,,
Course: GEO 306  Student Total: 39  Credit Hours: 3  Grade Pts: 322.8  GPA Hours: 96  GPA: 3.36,,,
Grade: A,  Credits: 3,  Student Count: 9,  Pct: 23.08
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 12.82
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 10.26
Grade: B+,  Credits: 3,  Student Count: 9,  Pct: 23.08
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 5.13
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 7.69
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 7.69
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 2.56
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 7.69
,,,
Course: GEO 307  Student Total: 41  Credit Hours: 3  Grade Pts: 232.5  GPA Hours: 99  GPA: 2.35,,,
Grade: A,  Credits: 3,  Student Count: 3,  Pct: 7.32
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 4.88
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 12.2
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 7.32
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 9.76
Grade: C,  Credits: 3,  Student Count: 5,  Pct: 12.2
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 4.88
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 7.32
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 4.88
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 2.44
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 7.32
Grade: W,  Credits: 3,  Student Count: 8,  Pct: 19.51
,,,
Course: GEO 308  Student Total: 23  Credit Hours: 3  Grade Pts: 183.3  GPA Hours: 63  GPA: 2.91,,,
Grade: A,  Credits: 3,  Student Count: 3,  Pct: 13.04
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 13.04
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 13.04
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 13.04
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 17.39
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 8.7
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 4.35
,,,
Course: GEO 309  Student Total: 51  Credit Hours: 3  Grade Pts: 441.9  GPA Hours: 132  GPA: 3.35,,,
Grade: A,  Credits: 3,  Student Count: 23,  Pct: 45.1
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 5.88
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 9.8
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 7.84
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 3.92
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 5.88
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 3.92
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 3.92
Grade: I/F,  Credits: 3,  Student Count: 3,  Pct: 5.88
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 7.84
,,,
Course: GEO 380  Student Total: 33  Credit Hours: 3  Grade Pts: 289.8  GPA Hours: 93  GPA: 3.12,,,
Grade: A,  Credits: 3,  Student Count: 1,  Pct: 3.03
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 12.12
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 21.21
Grade: B+,  Credits: 3,  Student Count: 11,  Pct: 33.33
Grade: B-,  Credits: 3,  Student Count: 6,  Pct: 18.18
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 3.03
